y,tmt
2.0116522412527624,0
9.255186932338145,1
0.7061009028312215,0
9.962037194172016,1
8.832382424916803,1
3.6702620342094967,0
8.149350656948862,1
7.407239323773263,1
6.105917615956826,1
2.312948144889161,0
5.792328407058381,1
5.477345036944442,0
8.198984106612638,1
6.782532484807469,1
0.7222860704942176,0
7.639710677116707,1
0.9869037319416059,0
1.2967759143400448,0
7.077572089398773,0
4.20803555283125,1
5.234010005195018,1
5.838387740199545,1
5.808488626469725,1
4.748949236014319,1
6.624549022413297,1
4.923915913697808,1
9.684921093147274,1
7.2470258505727845,1
4.716295580307268,0
0.18914415321455103,0
6.971085805198444,1
8.091151361730255,1
7.196224178035337,1
7.035193258358457,1
0.931439759860484,0
1.7425657407409982,0
6.1901971854604145,1
1.3952575674804026,0
4.527614312312314,0
6.519225871740071,0
5.63036016349189,0
3.8456804575466883,0
2.7633846194903047,0
4.152011456616271,0
1.4227715852186102,0
3.5298342249907426,0
3.3329323960421933,0
-1.6900464287051102,0
6.79327403921369,0
4.3368771303227245,1
-2.2517552791179405,0
2.9993150557056962,0
7.214824589375271,1
2.983989137539357,0
7.2811292276962565,1
0.6301453240373216,0
4.184994208313697,0
9.761375162686127,1
5.322542832898817,1
3.61174847258556,0
6.458199364705633,1
2.87842819089825,0
4.951416909720518,0
3.5555364188806946,0
10.86368213176079,1
2.3354187870503216,0
9.963886586329426,1
6.088688871756148,1
6.5373551966750245,1
2.345764745570621,0
7.575804059958227,1
7.933068453614343,1
7.290322173603259,1
4.198650668231792,0
1.4361353152021314,0
2.5222429676253704,0
4.3042706944859415,0
9.07615714223638,1
3.6766822055300583,0
4.418779651031645,0
4.6801223169291015,0
8.218617990137364,1
2.552564665044786,0
6.6713121633908115,1
4.243987664772408,0
2.08923235275892,0
6.736032485544722,1
6.81638598359156,1
3.826381986418175,1
3.6683777960138704,0
4.140013685152397,0
6.877793265923734,1
6.588134399888737,0
6.648435261661529,1
4.157598473568572,0
4.06519625647646,0
8.569358115700396,1
3.8354241736328,0
2.617438839071709,0
8.126706498320992,1
7.507044681626407,1
3.487044280336079,0
4.439180499830238,0
8.545465960470226,1
2.982954271447546,0
6.221861690036497,1
9.656466708255383,1
7.106025104524444,1
2.247469684068663,0
1.1075233062435936,0
7.539978966618939,1
3.7743011746490014,0
0.7238947976573935,0
4.303291020930853,1
7.368394239077229,1
1.362200689337987,0
9.697230599966144,1
4.785601191853987,1
3.9021937709937746,1
2.860304119779208,0
7.936010180843032,1
3.3137622914994784,0
2.7582807254304154,0
3.757601650653487,0
1.4632287121125869,0
7.453983866885614,1
1.3326254664554038,0
1.3912102905480368,0
3.213430937183741,0
7.822929817030155,1
5.261756869911498,1
3.8980448950410005,1
4.947300044648771,1
2.9995940242889088,1
7.258034370666178,1
8.169537540526143,1
10.603858290346949,1
5.210543237225582,1
6.05492437441688,1
2.7829823983601956,0
3.4751660694124755,0
1.4033033712385785,0
4.858664359326957,0
2.24062167972859,0
8.970341148977278,1
-0.2584366144552801,0
2.6755306693407817,0
3.6915494618444162,0
2.015618151249286,0
6.042626460357443,1
5.724531479779857,1
3.2068414136825516,0
5.5245967185233615,0
0.9514017772668897,0
2.801993081901844,0
2.034866270729328,0
9.82640644294932,1
6.855456364803802,0
4.001466255678157,0
3.132621750225345,0
9.732499605976386,1
2.0767697367236746,0
6.88635923705929,1
5.100457158290929,0
3.211427470794979,0
6.049174306723897,1
7.369972703690845,1
2.1047323489860217,0
6.739836845773546,0
2.2335527858146196,0
8.881525164711357,1
3.0022807587960436,0
9.660702073469373,1
8.861448694622784,1
5.702486144889805,1
7.564115190944283,1
2.7083671437410146,0
8.005565716306581,1
6.907278178767201,1
7.940669306516832,1
6.766041791838968,1
4.9112848052037865,0
7.62633388645587,1
0.3682691462902268,0
6.958540641124874,1
2.3266741905332586,0
5.23287347728555,0
4.696661326278526,1
2.9100100645962472,1
7.9353506592947065,1
4.883924128245338,0
3.905820712233409,0
9.705565301029704,1
8.80391137541,1
5.139379736838431,1
4.861049988693649,0
1.8224467183220743,0
9.210175116090808,1
4.985763815264678,0
6.900423919708597,1
5.13587431669316,0
6.46420495561825,1
9.022011198164677,1
2.3871308996192857,1
0.8972154417233704,0
7.295114849103779,1
